,0
0,alaska
1,arizona
2,arkansas
3,colorado
4,connecticut
5,delaware
6,florida
7,georgia
8,hawaii
9,idaho
10,illinois
11,indiana
12,kansas
13,kentucky
14,louisiana
15,maine
16,maryland
17,massachusetts
18,michigan
19,minnesota
20,mississippi
21,missouri
22,montana
23,nebraska
24,nevada
25,new hampshire
26,new jersey
27,new mexico
28,north carolina
29,north dakota
30,ohio
31,oklahoma
32,oregon
33,pennsylvania
34,rhode island
35,south carolina
36,south dakota
37,tennessee
38,texas
39,utah
40,vermont
41,virginia
42,washington
43,west virginia
44,wisconsin
45,wyoming
